group,function,value,sample_time_nanos,iteration_count
download large file,with varying levels of parallelism,6,9810409774.0,1
download large file,with varying levels of parallelism,6,19466593561.0,2
download large file,with varying levels of parallelism,6,28361999727.0,3
download large file,with varying levels of parallelism,6,48911177359.0,4
download large file,with varying levels of parallelism,6,62321043738.0,5
download large file,with varying levels of parallelism,6,68671242091.0,6
download large file,with varying levels of parallelism,6,96945838044.0,7
download large file,with varying levels of parallelism,6,109930612881.0,8
download large file,with varying levels of parallelism,6,119857155146.0,9
download large file,with varying levels of parallelism,6,167267066445.0,10
download large file,with varying levels of parallelism,6,130807148324.0,11
download large file,with varying levels of parallelism,6,145879487406.0,12
download large file,with varying levels of parallelism,6,147610617389.0,13
download large file,with varying levels of parallelism,6,171833686145.0,14
download large file,with varying levels of parallelism,6,246317347516.0,15
download large file,with varying levels of parallelism,6,231267502121.0,16
download large file,with varying levels of parallelism,6,212125003857.0,17
download large file,with varying levels of parallelism,6,241515541333.0,18
download large file,with varying levels of parallelism,6,234876473458.0,19
download large file,with varying levels of parallelism,6,257417218182.0,20
