group,function,value,sample_time_nanos,iteration_count
download medium file,in sequence,,1235732463.0,1
download medium file,in sequence,,3191000762.0,2
download medium file,in sequence,,3618243164.0,3
download medium file,in sequence,,4662756525.0,4
download medium file,in sequence,,6333357499.0,5
download medium file,in sequence,,7936621317.0,6
download medium file,in sequence,,8534636615.0,7
download medium file,in sequence,,9978390638.0,8
download medium file,in sequence,,10813243628.0,9
download medium file,in sequence,,10124813228.0,10
