group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,1,404806957.0,1
download medium file,with varying levels of parallelism,1,3144760941.0,2
download medium file,with varying levels of parallelism,1,3523701953.0,3
download medium file,with varying levels of parallelism,1,3706635116.0,4
download medium file,with varying levels of parallelism,1,2645751999.0,5
download medium file,with varying levels of parallelism,1,2958382264.0,6
download medium file,with varying levels of parallelism,1,3122979803.0,7
download medium file,with varying levels of parallelism,1,8392324558.0,8
download medium file,with varying levels of parallelism,1,4377432379.0,9
download medium file,with varying levels of parallelism,1,4951844470.0,10
download medium file,with varying levels of parallelism,1,9848868528.0,11
download medium file,with varying levels of parallelism,1,5808288432.0,12
download medium file,with varying levels of parallelism,1,12649465555.0,13
download medium file,with varying levels of parallelism,1,18559692934.0,14
download medium file,with varying levels of parallelism,1,7184881202.0,15
download medium file,with varying levels of parallelism,1,11934926788.0,16
download medium file,with varying levels of parallelism,1,15164265391.0,17
download medium file,with varying levels of parallelism,1,13301464829.0,18
download medium file,with varying levels of parallelism,1,8707151384.0,19
download medium file,with varying levels of parallelism,1,17997290861.0,20
