group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,24,1123762414.0,1
download medium file,with varying levels of parallelism,24,2601509245.0,2
download medium file,with varying levels of parallelism,24,3795378372.0,3
download medium file,with varying levels of parallelism,24,6450388656.0,4
download medium file,with varying levels of parallelism,24,9980787273.0,5
download medium file,with varying levels of parallelism,24,8678220600.0,6
download medium file,with varying levels of parallelism,24,10679851430.0,7
download medium file,with varying levels of parallelism,24,9320179577.0,8
download medium file,with varying levels of parallelism,24,16905202616.0,9
download medium file,with varying levels of parallelism,24,17679024646.0,10
download medium file,with varying levels of parallelism,24,17185168846.0,11
download medium file,with varying levels of parallelism,24,15593501439.0,12
download medium file,with varying levels of parallelism,24,19257050466.0,13
download medium file,with varying levels of parallelism,24,22467227626.0,14
download medium file,with varying levels of parallelism,24,25164794122.0,15
download medium file,with varying levels of parallelism,24,22963691026.0,16
download medium file,with varying levels of parallelism,24,27897111301.0,17
download medium file,with varying levels of parallelism,24,31881034654.0,18
download medium file,with varying levels of parallelism,24,31501165161.0,19
download medium file,with varying levels of parallelism,24,35240478956.0,20
