group,function,value,sample_time_nanos,iteration_count
download small file,in parallel,,580430513.0,1
download small file,in parallel,,838832298.0,2
download small file,in parallel,,1323179191.0,3
download small file,in parallel,,1905952983.0,4
download small file,in parallel,,2211142405.0,5
download small file,in parallel,,2799117367.0,6
download small file,in parallel,,3260989992.0,7
download small file,in parallel,,3785657585.0,8
download small file,in parallel,,3818625301.0,9
download small file,in parallel,,3907220843.0,10
