group,function,value,sample_time_nanos,iteration_count
download small file,in parallel,,115677166.0,1
download small file,in parallel,,205198011.0,2
download small file,in parallel,,344071308.0,3
download small file,in parallel,,889714944.0,4
download small file,in parallel,,619913291.0,5
download small file,in parallel,,808359349.0,6
download small file,in parallel,,1383444232.0,7
download small file,in parallel,,885412620.0,8
download small file,in parallel,,1026557476.0,9
download small file,in parallel,,1318714240.0,10
download small file,in parallel,,1238889216.0,11
download small file,in parallel,,1460000050.0,12
download small file,in parallel,,1451010756.0,13
download small file,in parallel,,2110921906.0,14
download small file,in parallel,,2599908358.0,15
download small file,in parallel,,1822400603.0,16
download small file,in parallel,,2001459162.0,17
download small file,in parallel,,2284195402.0,18
download small file,in parallel,,2195160369.0,19
download small file,in parallel,,2200702903.0,20
