group,function,value,sample_time_nanos,iteration_count
download small file,with varying degrees of parallelism,48,1321222759.0,1
download small file,with varying degrees of parallelism,48,2707229410.0,2
download small file,with varying degrees of parallelism,48,4030430668.0,3
download small file,with varying degrees of parallelism,48,5051461758.0,4
download small file,with varying degrees of parallelism,48,6124494925.0,5
download small file,with varying degrees of parallelism,48,7482068915.0,6
download small file,with varying degrees of parallelism,48,9003647537.0,7
download small file,with varying degrees of parallelism,48,10440035577.0,8
download small file,with varying degrees of parallelism,48,11218733898.0,9
download small file,with varying degrees of parallelism,48,13582645241.0,10
download small file,with varying degrees of parallelism,48,13764071566.0,11
download small file,with varying degrees of parallelism,48,14322710245.0,12
download small file,with varying degrees of parallelism,48,15179874990.0,13
download small file,with varying degrees of parallelism,48,19213505375.0,14
download small file,with varying degrees of parallelism,48,20159533671.0,15
download small file,with varying degrees of parallelism,48,19146033692.0,16
download small file,with varying degrees of parallelism,48,21738961936.0,17
download small file,with varying degrees of parallelism,48,21937592689.0,18
download small file,with varying degrees of parallelism,48,22435835094.0,19
download small file,with varying degrees of parallelism,48,24456213714.0,20
